Designator,Function,Value,Footprint,Quantity,Price,Amount,Link
PCB,PCB,,21x51,5+1,2.1+3.07,5.17,https://jlcpcb.com/
"C1, C2, C4",Capacitor,4.7u,603,50,0.0048,0.24,https://robu.in/product/tcc0603x5r475m160ct-cctc-smt-ceramic-capacitors-0603-x5r-475m4-7%c2%b5f%c2%b120-rated-voltage16v-thickness0-80mm-tape/
"C10, C11, C12, C13, C14, C18, C20, C5, C6, C7, C8, C9",Capacitor,100n,201,100,0.0011,0.11,https://robu.in/product/cl03a104ko3nnnc-samsang-16v-100nf-x5r-%c2%b110-0201-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/
"C15, C16",Capacitor,22p,201,50,0.004,0.2,https://robu.in/product/grm0335c1h220ja01d-murata-cap-ceramic-22pf-50v-c0g-5-pad-smd-0201-125c-automotive-t-r/
"C17, C19",Capacitor,10u,603,4,0.03,0.12,https://www.lcsc.com/product-detail/C7393892.html
D1,LED,LED,402,4,0.01,0.04,https://www.lcsc.com/product-detail/C7496805.html
J4,USB-C,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_XKB_U262-16XN-4BVC11,2,0.06,0.12,https://www.lcsc.com/product-detail/C393939.html
L1,Inductor,3.3u,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,2,0.28,0.56,https://www.lcsc.com/product-detail/C42411119.html
L2,Inductor,1u,805,5,0.13,0.65,https://robu.in/product/mlp2012h1r0mt0s1-tdk-1-1a-1uh-%c2%b120-120m%cf%89-0805-inductors-smd-rohs/
"R1, R2",Resistor,27,201,50,0.0038,0.19,https://robu.in/product/rc0201fr-0727rl-yageo-smd-chip-resistor-27-ohm-%C2%B1-1-50-mw-0201-0603-metric-thick-film-general-purpose/
R9,Resistor,63.4k,201,100,0.0011,0.11,https://robu.in/product/rc0201fr-0763k4l-yageo-50mw-thick-film-resistors-25v-%c2%b11-%c2%b1200ppm-%e2%84%83-63-4k%cf%89-0201-chip-resistor-surface-mount-rohs/
R11,Resistor,470,201,50,0.0038,0.19,https://robu.in/product/0201wmj0471tee-uniohm-royal-ohm-50mw-thick-film-resistors-25v-%c2%b15-%c2%b1200ppm-%e2%84%83-470%cf%89-0201-chip-resistor-surface-mount-rohs/
"R10, R12",Resistor,10k,201,50,0.0038,0.19,https://robu.in/product/0201wmf1002tee-uniohm-royal-ohm-50mw-thick-film-resistors-25v-%c2%b11-%c2%b1200ppm-%e2%84%83-10k%cf%89-0201-chip-resistor-surface-mount-rohs/
"R13, R14",Resistor,5.1k,201,50,0.0038,0.19,https://robu.in/product/0201wmf5101tee-uniohm-royal-ohm-50mw-thick-film-resistors-25v%c2%b11%c2%b1200ppm-%e2%84%83-5-1k%cf%89-0201-chip-resistor-surface-mount-rohs/
"R3, R5, R6, R7, R8",Resistor,1K,201,50,0.0038,0.19,https://robu.in/product/0201wmf1001tee-uniohm-royal-ohm-50mw-thick-film-resistors-25v%c2%b11%c2%b1200ppm-%e2%84%83-1k%cf%89-0201-chip-resistor-surface-mount-rohs/
R4,Resistor,33,201,50,0.0038,0.19,https://robu.in/product/0201wmf330jtee-uniohm-royal-ohm-50mw-thick-film-resistors-25v%c2%b11%c2%b1200ppm-%e2%84%83-33%cf%89-0201-chip-resistor-surface-mount-rohs/
"SW1, SW2",Switch,SW_Push,SW_SPST_PTS810,5,0.27,1.35,https://robu.in/product/pts810sjm250smtrlfs-ck-3-2mm-2-5mm-round-button-50ma-standing-paste-4-2mm-spst-160gf-16v-smd-tactile-switches-rohs/
U1,MCU,RP2350A,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,3,1.14,3.42,https://robu.in/product/raspberry-pi-rp2350a-microcontroller-ic/
U2,Flash Storage,W25Q32JVZP,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,2,0.96,1.92,https://robu.in/product/w25q32jwzpiq-tr-winbond-elec-32mbit-spi-133mhz-wson-8-ep5x6-nor-flash-rohs/
U3,RF module,RPI-RM2,RPI_RM2,2,6.99,13.98,https://robu.in/product/raspberry-pi-radio-module-rmc20452t/
U4,Buck,TLV62084DSGx,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,3,0.31,0.93,https://robu.in/product/1-month-warranty-565/
Y1,Crystal,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,5,0.19,0.95,https://robu.in/product/ysx321sl-12mhz-10pf-10ppm-4pins-smd-smt-metal-surface-quartz-crystal-pack-of-2/
,,,,,,,
,,,,,Subtotal,31.01,
,,,,,PCB Shipping,12,
,,,,,Total Cost,43.01,
