Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0603,3,4.7u,
"C10, C11, C12, C13, C14, C18, C20, C5, C6, C7, C8, C9",0201,12,100n,
"C15, C16",0201,2,22p,
"C17, C19",0603,2,10u,
D1,0402,1,LED,
"J1, J2",PinSocket_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J4,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,3.3u,
L2,0805,1,1u,
"R1, R2",0201,2,27,
"R10, R12",0201,2,10k,
R11,0201,1,470,
"R13, R14",0201,2,5.1k,
"R3, R5, R6, R7, R8",0201,5,1K,
R4,0201,1,33,
R9,0201,1,63.4k,
"SW1, SW2",SW_SPST_PTS810,2,SW_Push,
U1,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2350A,
U2,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q32JVZP,
U3,RPI_RM2,1,RPI-RM2,
U4,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,TLV62084DSGx,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
