Designator,Mid X,Mid Y,Rotation,Layer
C1,181.39,-99.23,270.0,top
C10,169.86,-104.55,180.0,top
C11,174.46,-107.99,270.0,top
C12,173.965,-90.92,180.0,top
C13,178.36,-90.91,90.0,top
C14,169.65,-117.733726,225.0,top
C15,173.515,-112.76,0.0,top
C16,171.42,-111.17,90.0,top
C17,177.28,-91.74,90.0,top
C18,171.17,-117.3,0.0,top
C19,181.959244,-90.13,90.0,top
C2,178.42,-94.18,0.0,top
C20,181.46,-88.03,0.0,top
C4,178.475,-98.08,0.0,top
C5,181.23,-102.84,0.0,top
C6,170.31,-101.68,135.0,top
C7,175.52,-98.0,90.0,top
C8,180.22,-100.0,90.0,top
C9,171.63,-99.28,90.0,top
D1,172.89,-117.2,0.0,top
J1,184.46,-104.8,0.0,bottom
J2,166.68,-104.8,0.0,bottom
J3,174.95,-114.95,270.0,top
J4,175.57,-82.045,180.0,top
L1,178.41,-96.11,0.0,top
L2,179.76,-92.47,180.0,top
R1,175.99,-90.925,270.0,top
R10,179.429244,-88.05,0.0,top
R11,181.48,-117.78,270.0,top
R12,177.86,-117.22,180.0,top
R13,174.78,-87.29,0.0,top
R14,177.14,-88.03,270.0,top
R2,175.28,-90.925,270.0,top
R3,175.55,-108.09,90.0,top
R4,180.31,-98.32,90.0,top
R5,180.49,-108.19,270.0,top
R6,169.185,-90.975,180.0,top
R7,175.62,-117.07,180.0,top
R8,171.115,-97.86,0.0,top
R9,178.369244,-89.2,90.0,top
SW1,171.17,-88.71,0.0,top
SW2,178.29,-110.33,270.0,top
U1,175.734811,-103.16,90.0,top
U2,171.65,-94.075,0.0,top
U3,175.57,-126.75,180.0,top
U4,179.97,-90.02,270.0,top
Y1,173.967311,-110.56,0.0,top
